Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;H4KDJ853M;iBOLL;zM15KDJ;zH1KDJ
2015.02.23 07:03:28;EURUSD;1.13806;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13787;13;23;49;1.13669;1.1382;1.13827;1.13802;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:03:57;EURUSD;1.13809;1.13822;1.13837;1.13795;1.13807;1.13583;1.13734;1.13885;1.13789;15;24;50;1.13669;1.1382;1.13827;1.13802;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13696;55;44;55;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:04:27;EURUSD;1.13811;1.13822;1.13837;1.13795;1.13807;1.13583;1.13734;1.13884;1.13789;16;24;50;1.13669;1.1382;1.13827;1.13803;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13696;55;44;55;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:04:58;EURUSD;1.13804;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;12;23;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:05:28;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13787;13;23;49;1.13669;1.1382;1.13827;1.13802;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:05:58;EURUSD;1.13802;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;12;23;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:06:51;EURUSD;1.13802;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:07:21;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:07:51;EURUSD;1.13802;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;13;23;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
2015.02.23 07:08:29;EURUSD;1.13803;1.13821;1.13836;1.13795;1.13807;1.13583;1.13734;1.13886;1.13786;14;24;49;1.13669;1.1382;1.13827;1.13801;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13695;55;44;54;1.13792;1.13733;1.13597;65;-7;;
